operation,variant,N,block,rounds,warmup,iters,pipeline_ms_median,speedup_vs_shared,M_elements_per_s,effective_GB_per_s,reference,result,abs_error,correct
max,shared,100003,128,3,20,50,0.012064,1.000,8289.374,33.681,0.999997497,0.999997497,0.000000000e+00,PASS
max,warp,100003,128,3,20,50,0.010240,1.178,9765.918,39.680,0.999997497,0.999997497,0.000000000e+00,PASS
max,shared,100003,256,3,20,50,0.012208,1.000,8191.596,33.024,0.999997497,0.999997497,0.000000000e+00,PASS
max,warp,100003,256,3,20,50,0.010400,1.174,9615.673,38.765,0.999997497,0.999997497,0.000000000e+00,PASS
max,shared,1048576,32,4,20,50,0.057344,1.000,18285.714,77.862,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,1048576,32,4,20,50,0.043040,1.332,24362.825,103.738,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,1048576,64,4,20,50,0.035552,1.000,29494.150,121.722,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,1048576,64,4,20,50,0.026832,1.325,39079.309,161.280,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,1048576,128,3,20,50,0.032576,1.000,32188.607,130.782,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,1048576,128,3,20,50,0.022624,1.440,46347.947,188.311,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,1048576,256,3,20,50,0.035200,1.000,29789.091,120.091,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,1048576,256,3,20,50,0.024400,1.443,42974.427,173.246,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,16777216,32,5,20,50,0.803008,1.000,20892.963,88.964,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,16777216,32,5,20,50,0.608864,1.319,27554.948,117.331,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,16777216,64,4,20,50,0.394080,1.000,42573.124,175.699,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,16777216,64,4,20,50,0.303168,1.300,55339.667,228.386,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,16777216,128,4,20,50,0.386352,1.000,43424.690,176.434,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,16777216,128,4,20,50,0.251904,1.534,66601.623,270.602,0.999999881,0.999999881,0.000000000e+00,PASS
max,shared,16777216,256,3,20,50,0.429248,1.000,39085.134,157.567,0.999999881,0.999999881,0.000000000e+00,PASS
max,warp,16777216,256,3,20,50,0.282624,1.519,59362.318,239.312,0.999999881,0.999999881,0.000000000e+00,PASS
