Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
39144467,356956,298,,,,,,,,,,4.194,11748.246,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,14,[CUDA memcpy Host-to-Device]
39502543,413275,303,,,,,,,,,,4.194,10146.021,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,15,[CUDA memcpy Host-to-Device]
39916970,356923,308,,,,,,,,,,4.194,11748.246,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,16,[CUDA memcpy Host-to-Device]
40893982,15968,295,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,13,"simpleKernel(const float *, float *, int)"
40906910,17664,310,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,16,"simpleKernel(const float *, float *, int)"
40923230,17695,305,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,15,"simpleKernel(const float *, float *, int)"
40939613,17440,300,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,14,"simpleKernel(const float *, float *, int)"
41041820,356156,297,,,,,,,,,,4.194,11773.411,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,13,[CUDA memcpy Device-to-Host]
41399224,351612,302,,,,,,,,,,4.194,11928.601,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,14,[CUDA memcpy Device-to-Host]
41752116,335260,307,,,,,,,,,,4.194,12507.415,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,15,[CUDA memcpy Device-to-Host]
42088624,338908,312,,,,,,,,,,4.194,12373.197,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,16,[CUDA memcpy Device-to-Host]
42507947,2080,313,,,,,,,,,,0.000,5.769,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
42739272,3104,315,1,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,13,"simpleKernel(const float *, float *, int)"
42825799,1504,317,,,,,,,,,,0.000,7.979,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,13,[CUDA memcpy Device-to-Host]
